tps,suara
TPS_015_3,114
TPS_015_3_blur,114
TPS_015_3_bright,114
TPS_015_3_contrass,114
TPS_015_3_glass,114
TPS_015_3_random,114
TPS_016_1,97
TPS_016_1_blur,97
TPS_016_1_bright,97
TPS_016_1_contrass,97
TPS_016_1_glass,97
TPS_016_1_random,97
TPS_016_2,47
TPS_016_2_blur,47
TPS_016_2_bright,47
TPS_016_2_contrass,47
TPS_016_2_glass,47
TPS_016_2_random,47
TPS_016_3,6
TPS_016_3_blur,6
TPS_016_3_bright,6
TPS_016_3_contrass,6
TPS_016_3_glass,6
TPS_016_3_random,6
TPS_017_1,65
TPS_017_1_blur,65
TPS_017_1_bright,65
TPS_017_1_contrass,65
TPS_017_1_glass,65
TPS_017_1_random,65
TPS_017_2,150
TPS_017_2_blur,150
TPS_017_2_bright,150
TPS_017_2_contrass,150
TPS_017_2_glass,150
TPS_017_2_random,150
TPS_017_3,15
TPS_017_3_blur,15
TPS_017_3_bright,15
TPS_017_3_contrass,15
TPS_017_3_glass,15
TPS_017_3_random,15
TPS_018_1,48
TPS_018_1_blur,48
TPS_018_1_bright,48
TPS_018_1_contrass,48
TPS_018_1_glass,48
TPS_018_1_random,48
TPS_018_2,94
TPS_018_2_blur,94
TPS_018_2_bright,94
TPS_018_2_contrass,94
TPS_018_2_glass,94
TPS_018_2_random,94
TPS_018_3,9
TPS_018_3_blur,9
TPS_018_3_bright,9
TPS_018_3_contrass,9
TPS_018_3_glass,9
TPS_018_3_random,9
TPS_019_1,41
TPS_019_1_blur,41
TPS_019_1_bright,41
TPS_019_1_contrass,41
TPS_019_1_glass,41
TPS_019_1_random,41
TPS_019_2,80
TPS_019_2_blur,80
TPS_019_2_bright,80
TPS_019_2_contrass,80
TPS_019_2_glass,80
TPS_019_2_random,80
TPS_019_3,25
TPS_019_3_blur,25
TPS_019_3_bright,25
TPS_019_3_contrass,25
TPS_019_3_glass,25
TPS_019_3_random,25
TPS_020_1,4
TPS_020_1_blur,4
TPS_020_1_bright,4
TPS_020_1_contrass,4
TPS_020_1_glass,4
TPS_020_1_random,4
TPS_020_2,93
TPS_020_2_blur,93
TPS_020_2_bright,93
TPS_020_2_contrass,93
TPS_020_2_glass,93
TPS_020_2_random,93
TPS_020_3,22
TPS_020_3_blur,22
TPS_020_3_bright,22
TPS_020_3_contrass,22
TPS_020_3_glass,22
TPS_020_3_random,22
TPS_021_1,12
TPS_021_1_blur,12
TPS_021_1_bright,12
TPS_021_1_contrass,12
TPS_021_1_glass,12
TPS_021_1_random,12
TPS_021_2,66
TPS_021_2_blur,66
TPS_021_2_bright,66
TPS_021_2_contrass,66
TPS_021_2_glass,66
TPS_021_2_random,66
TPS_021_3,33
TPS_021_3_blur,33
TPS_021_3_bright,33
TPS_021_3_contrass,33
TPS_021_3_glass,33
TPS_021_3_random,33
TPS_022_1,0
TPS_022_1_blur,0
TPS_022_1_bright,0
TPS_022_1_contrass,0
TPS_022_1_glass,0
TPS_022_1_random,0
TPS_022_2,96
TPS_022_2_blur,96
TPS_022_2_bright,96
TPS_022_2_contrass,96
TPS_022_2_glass,96
TPS_022_2_random,96
TPS_022_3,68
TPS_022_3_blur,68
TPS_022_3_bright,68
TPS_022_3_contrass,68
TPS_022_3_glass,68
TPS_022_3_random,68
TPS_023_1,73
TPS_023_1_blur,73
TPS_023_1_bright,73
TPS_023_1_contrass,73
TPS_023_1_glass,73
TPS_023_1_random,73
TPS_023_2,131
TPS_023_2_blur,131
TPS_023_2_bright,131
TPS_023_2_contrass,131
TPS_023_2_glass,131
TPS_023_2_random,131
TPS_023_3,7
TPS_023_3_blur,7
TPS_023_3_bright,7
TPS_023_3_contrass,7
TPS_023_3_glass,7
TPS_023_3_random,7
TPS_024_1,33
TPS_024_1_blur,33
TPS_024_1_bright,33
TPS_024_1_contrass,33
TPS_024_1_glass,33
TPS_024_1_random,33
TPS_024_2,103
TPS_024_2_blur,103
TPS_024_2_bright,103
TPS_024_2_contrass,103
TPS_024_2_glass,103
TPS_024_2_random,103
TPS_024_3,49
TPS_024_3_blur,49
TPS_024_3_bright,49
TPS_024_3_contrass,49
TPS_024_3_glass,49
TPS_024_3_random,49
TPS_025_1,9
TPS_025_1_blur,9
TPS_025_1_bright,9
TPS_025_1_contrass,9
TPS_025_1_glass,9
TPS_025_1_random,9
TPS_025_2,53
TPS_025_2_blur,53
TPS_025_2_bright,53
TPS_025_2_contrass,53
TPS_025_2_glass,53
TPS_025_2_random,53
TPS_025_3,2
TPS_025_3_blur,2
TPS_025_3_bright,2
TPS_025_3_contrass,2
TPS_025_3_glass,2
TPS_025_3_random,2
TPS_026_1,12
TPS_026_1_blur,12
TPS_026_1_bright,12
TPS_026_1_contrass,12
TPS_026_1_glass,12
TPS_026_1_random,12
TPS_026_2,111
TPS_026_2_blur,111
TPS_026_2_bright,111
TPS_026_2_contrass,111
TPS_026_2_glass,111
TPS_026_2_random,111
TPS_026_3,33
TPS_026_3_blur,33
TPS_026_3_bright,33
TPS_026_3_contrass,33
TPS_026_3_glass,33
TPS_026_3_random,33
TPS_027_1,86
TPS_027_1_blur,86
TPS_027_1_bright,86
TPS_027_1_contrass,86
TPS_027_1_glass,86
TPS_027_1_random,86
TPS_027_2,102
TPS_027_2_blur,102
TPS_027_2_bright,102
TPS_027_2_contrass,102
TPS_027_2_glass,102
TPS_027_2_random,102
TPS_027_3,7
TPS_027_3_blur,7
TPS_027_3_bright,7
TPS_027_3_contrass,7
TPS_027_3_glass,7
TPS_027_3_random,7
TPS_028_1,91
TPS_028_1_blur,91
TPS_028_1_bright,91
TPS_028_1_contrass,91
TPS_028_1_glass,91
TPS_028_1_random,91
TPS_028_2,122
TPS_028_2_blur,122
TPS_028_2_bright,122
TPS_028_2_contrass,122
TPS_028_2_glass,122
TPS_028_2_random,122
TPS_028_3,7
TPS_028_3_blur,7
TPS_028_3_bright,7
TPS_028_3_contrass,7
TPS_028_3_glass,7
TPS_028_3_random,7
TPS_029_1,3
TPS_029_1_blur,3
TPS_029_1_bright,3
TPS_029_1_contrass,3
TPS_029_1_glass,3
TPS_029_1_random,3
TPS_029_2,96
TPS_029_2_blur,96
TPS_029_2_bright,96
TPS_029_2_contrass,96
TPS_029_2_glass,96
TPS_029_2_random,96
TPS_029_3,66
TPS_029_3_blur,66
TPS_029_3_bright,66
TPS_029_3_contrass,66
TPS_029_3_glass,66
TPS_029_3_random,66
TPS_030_1,64
TPS_030_1_blur,64
TPS_030_1_bright,64
TPS_030_1_contrass,64
TPS_030_1_glass,64
TPS_030_1_random,64
TPS_030_2,89
TPS_030_2_blur,89
TPS_030_2_bright,89
TPS_030_2_contrass,89
TPS_030_2_glass,89
TPS_030_2_random,89
TPS_030_3,14
TPS_030_3_blur,14
TPS_030_3_bright,14
TPS_030_3_contrass,14
TPS_030_3_glass,14
TPS_030_3_random,14
TPS_031_1,34
TPS_031_1_blur,34
TPS_031_1_bright,34
TPS_031_1_contrass,34
TPS_031_1_glass,34
TPS_031_1_random,34
TPS_031_2,161
TPS_031_2_blur,161
TPS_031_2_bright,161
TPS_031_2_contrass,161
TPS_031_2_glass,161
TPS_031_2_random,161
TPS_031_3,21
TPS_031_3_blur,21
TPS_031_3_bright,21
TPS_031_3_contrass,21
TPS_031_3_glass,21
TPS_031_3_random,21
TPS_032_1,70
TPS_032_1_blur,70
TPS_032_1_bright,70
TPS_032_1_contrass,70
TPS_032_1_glass,70
TPS_032_1_random,70
TPS_032_2,44
TPS_032_2_blur,44
TPS_032_2_bright,44
TPS_032_2_contrass,44
TPS_032_2_glass,44
TPS_032_2_random,44
TPS_032_3,6
TPS_032_3_blur,6
TPS_032_3_bright,6
TPS_032_3_contrass,6
TPS_032_3_glass,6
TPS_032_3_random,6
TPS_033_1,46
TPS_033_1_blur,46
TPS_033_1_bright,46
TPS_033_1_contrass,46
TPS_033_1_glass,46
TPS_033_1_random,46
TPS_033_2,56
TPS_033_2_blur,56
TPS_033_2_bright,56
TPS_033_2_contrass,56
TPS_033_2_glass,56
TPS_033_2_random,56
TPS_033_3,1
TPS_033_3_blur,1
TPS_033_3_bright,1
TPS_033_3_contrass,1
TPS_033_3_glass,1
TPS_033_3_random,1
TPS_034_1,80
TPS_034_1_blur,80
TPS_034_1_bright,80
TPS_034_1_contrass,80
TPS_034_1_glass,80
TPS_034_1_random,80
TPS_034_2,81
TPS_034_2_blur,81
TPS_034_2_bright,81
TPS_034_2_contrass,81
TPS_034_2_glass,81
TPS_034_2_random,81
TPS_034_3,32
TPS_034_3_blur,32
TPS_034_3_bright,32
TPS_034_3_contrass,32
TPS_034_3_glass,32
TPS_034_3_random,32
TPS_035_1,76
TPS_035_1_blur,76
TPS_035_1_bright,76
TPS_035_1_contrass,76
TPS_035_1_glass,76
TPS_035_1_random,76
TPS_035_2,67
TPS_035_2_blur,67
TPS_035_2_bright,67
TPS_035_2_contrass,67
TPS_035_2_glass,67
TPS_035_2_random,67
TPS_035_3,16
TPS_035_3_blur,16
TPS_035_3_bright,16
TPS_035_3_contrass,16
TPS_035_3_glass,16
TPS_035_3_random,16
TPS_036_1,74
TPS_036_1_blur,74
TPS_036_1_bright,74
TPS_036_1_contrass,74
TPS_036_1_glass,74
TPS_036_1_random,74
TPS_036_2,83
TPS_036_2_blur,83
TPS_036_2_bright,83
TPS_036_2_contrass,83
TPS_036_2_glass,83
TPS_036_2_random,83
TPS_036_3,36
TPS_036_3_blur,36
TPS_036_3_bright,36
TPS_036_3_contrass,36
TPS_036_3_glass,36
TPS_036_3_random,36
TPS_037_1,129
TPS_037_1_blur,129
TPS_037_1_bright,129
TPS_037_1_contrass,129
TPS_037_1_glass,129
TPS_037_1_random,129
TPS_037_2,65
TPS_037_2_blur,65
TPS_037_2_bright,65
TPS_037_2_contrass,65
TPS_037_2_glass,65
TPS_037_2_random,65
TPS_037_3,17
TPS_037_3_blur,17
TPS_037_3_bright,17
TPS_037_3_contrass,17
TPS_037_3_glass,17
TPS_037_3_random,17
TPS_038_1,108
TPS_038_1_blur,108
TPS_038_1_bright,108
TPS_038_1_contrass,108
TPS_038_1_glass,108
TPS_038_1_random,108
TPS_038_2,98
TPS_038_2_blur,98
TPS_038_2_bright,98
TPS_038_2_contrass,98
TPS_038_2_glass,98
TPS_038_2_random,98
TPS_038_3,5
TPS_038_3_blur,5
TPS_038_3_bright,5
TPS_038_3_contrass,5
TPS_038_3_glass,5
TPS_038_3_random,5
TPS_039_1,109
TPS_039_1_blur,109
TPS_039_1_bright,109
TPS_039_1_contrass,109
TPS_039_1_glass,109
TPS_039_1_random,109
TPS_039_2,29
TPS_039_2_blur,29
TPS_039_2_bright,29
TPS_039_2_contrass,29
TPS_039_2_glass,29
TPS_039_2_random,29
TPS_039_3,3
TPS_039_3_blur,3
TPS_039_3_bright,3
TPS_039_3_contrass,3
TPS_039_3_glass,3
TPS_039_3_random,3
TPS_040_1,102
TPS_040_1_blur,102
TPS_040_1_bright,102
TPS_040_1_contrass,102
TPS_040_1_glass,102
TPS_040_1_random,102
TPS_040_2,29
TPS_040_2_blur,29
TPS_040_2_bright,29
TPS_040_2_contrass,29
TPS_040_2_glass,29
TPS_040_2_random,29
TPS_040_3,2
TPS_040_3_blur,2
TPS_040_3_bright,2
TPS_040_3_contrass,2
TPS_040_3_glass,2
TPS_040_3_random,2
TPS_041_1,94
TPS_041_1_blur,94
TPS_041_1_bright,94
TPS_041_1_contrass,94
TPS_041_1_glass,94
TPS_041_1_random,94
TPS_041_2,44
TPS_041_2_blur,44
TPS_041_2_bright,44
TPS_041_2_contrass,44
TPS_041_2_glass,44
TPS_041_2_random,44
TPS_041_3,1
TPS_041_3_blur,1
TPS_041_3_bright,1
TPS_041_3_contrass,1
TPS_041_3_glass,1
TPS_041_3_random,1
TPS_042_1,74
TPS_042_1_blur,74
TPS_042_1_bright,74
TPS_042_1_contrass,74
TPS_042_1_glass,74
TPS_042_1_random,74
TPS_042_2,102
TPS_042_2_blur,102
TPS_042_2_bright,102
TPS_042_2_contrass,102
TPS_042_2_glass,102
TPS_042_2_random,102
TPS_042_3,0
TPS_042_3_blur,0
TPS_042_3_bright,0
TPS_042_3_contrass,0
TPS_042_3_glass,0
TPS_042_3_random,0
TPS_043_1,115
TPS_043_1_blur,115
TPS_043_1_bright,115
TPS_043_1_contrass,115
TPS_043_1_glass,115
TPS_043_1_random,115
TPS_043_2,31
TPS_043_2_blur,31
TPS_043_2_bright,31
TPS_043_2_contrass,31
TPS_043_2_glass,31
TPS_043_2_random,31
TPS_043_3,3
TPS_043_3_blur,3
TPS_043_3_bright,3
TPS_043_3_contrass,3
TPS_043_3_glass,3
TPS_043_3_random,3
TPS_044_1,151
TPS_044_1_blur,151
TPS_044_1_bright,151
TPS_044_1_contrass,151
TPS_044_1_glass,151
TPS_044_1_random,151
TPS_044_2,70
TPS_044_2_blur,70
TPS_044_2_bright,70
TPS_044_2_contrass,70
TPS_044_2_glass,70
TPS_044_2_random,70
TPS_044_3,3
TPS_044_3_blur,3
TPS_044_3_bright,3
TPS_044_3_contrass,3
TPS_044_3_glass,3
TPS_044_3_random,3
TPS_045_1,112
TPS_045_1_blur,112
TPS_045_1_bright,112
TPS_045_1_contrass,112
TPS_045_1_glass,112
TPS_045_1_random,112
TPS_045_2,63
TPS_045_2_blur,63
TPS_045_2_bright,63
TPS_045_2_contrass,63
TPS_045_2_glass,63
TPS_045_2_random,63
TPS_045_3,4
TPS_045_3_blur,4
TPS_045_3_bright,4
TPS_045_3_contrass,4
TPS_045_3_glass,4
TPS_045_3_random,4
TPS_046_1,137
TPS_046_1_blur,137
TPS_046_1_bright,137
TPS_046_1_contrass,137
TPS_046_1_glass,137
TPS_046_1_random,137
TPS_046_2,66
TPS_046_2_blur,66
TPS_046_2_bright,66
TPS_046_2_contrass,66
TPS_046_2_glass,66
TPS_046_2_random,66
TPS_046_3,5
TPS_046_3_blur,5
TPS_046_3_bright,5
TPS_046_3_contrass,5
TPS_046_3_glass,5
TPS_046_3_random,5
TPS_047_1,110
TPS_047_1_blur,110
TPS_047_1_bright,110
TPS_047_1_contrass,110
TPS_047_1_glass,110
TPS_047_1_random,110
TPS_047_2,82
TPS_047_2_blur,82
TPS_047_2_bright,82
TPS_047_2_contrass,82
TPS_047_2_glass,82
TPS_047_2_random,82
TPS_047_3,1
TPS_047_3_blur,1
TPS_047_3_bright,1
TPS_047_3_contrass,1
TPS_047_3_glass,1
TPS_047_3_random,1
TPS_048_1,126
TPS_048_1_blur,126
TPS_048_1_bright,126
TPS_048_1_contrass,126
TPS_048_1_glass,126
TPS_048_1_random,126
TPS_048_2,85
TPS_048_2_blur,85
TPS_048_2_bright,85
TPS_048_2_contrass,85
TPS_048_2_glass,85
TPS_048_2_random,85
TPS_048_3,4
TPS_048_3_blur,4
TPS_048_3_bright,4
TPS_048_3_contrass,4
TPS_048_3_glass,4
TPS_048_3_random,4
TPS_049_1,99
TPS_049_1_blur,99
TPS_049_1_bright,99
TPS_049_1_contrass,99
TPS_049_1_glass,99
TPS_049_1_random,99
TPS_049_2,58
TPS_049_2_blur,58
TPS_049_2_bright,58
TPS_049_2_contrass,58
TPS_049_2_glass,58
TPS_049_2_random,58
TPS_049_3,4
TPS_049_3_blur,4
TPS_049_3_bright,4
TPS_049_3_contrass,4
TPS_049_3_glass,4
TPS_049_3_random,4
TPS_050_1,26
TPS_050_1_blur,26
TPS_050_1_bright,26
TPS_050_1_contrass,26
TPS_050_1_glass,26
TPS_050_1_random,26
TPS_050_2,89
TPS_050_2_blur,89
TPS_050_2_bright,89
TPS_050_2_contrass,89
TPS_050_2_glass,89
TPS_050_2_random,89
TPS_050_3,8
TPS_050_3_blur,8
TPS_050_3_bright,8
TPS_050_3_contrass,8
TPS_050_3_glass,8
TPS_050_3_random,8
TPS_051_1,72
TPS_051_1_blur,72
TPS_051_1_bright,72
TPS_051_1_contrass,72
TPS_051_1_glass,72
TPS_051_1_random,72
TPS_051_2,48
TPS_051_2_blur,48
TPS_051_2_bright,48
TPS_051_2_contrass,48
TPS_051_2_glass,48
TPS_051_2_random,48
TPS_051_3,1
TPS_051_3_blur,1
TPS_051_3_bright,1
TPS_051_3_contrass,1
TPS_051_3_glass,1
TPS_051_3_random,1
TPS_052_1,83
TPS_052_1_blur,83
TPS_052_1_bright,83
TPS_052_1_contrass,83
TPS_052_1_glass,83
TPS_052_1_random,83
TPS_052_2,101
TPS_052_2_blur,101
TPS_052_2_bright,101
TPS_052_2_contrass,101
TPS_052_2_glass,101
TPS_052_2_random,101
TPS_052_3,36
TPS_052_3_blur,36
TPS_052_3_bright,36
TPS_052_3_contrass,36
TPS_052_3_glass,36
TPS_052_3_random,36
TPS_053_1,103
TPS_053_1_blur,103
TPS_053_1_bright,103
TPS_053_1_contrass,103
TPS_053_1_glass,103
TPS_053_1_random,103
TPS_053_2,53
TPS_053_2_blur,53
TPS_053_2_bright,53
TPS_053_2_contrass,53
TPS_053_2_glass,53
TPS_053_2_random,53
TPS_053_3,3
TPS_053_3_blur,3
TPS_053_3_bright,3
TPS_053_3_contrass,3
TPS_053_3_glass,3
TPS_053_3_random,3
TPS_054_1,148
TPS_054_1_blur,148
TPS_054_1_bright,148
TPS_054_1_contrass,148
TPS_054_1_glass,148
TPS_054_1_random,148
TPS_054_2,75
TPS_054_2_blur,75
TPS_054_2_bright,75
TPS_054_2_contrass,75
TPS_054_2_glass,75
TPS_054_2_random,75
TPS_054_3,10
TPS_054_3_blur,10
TPS_054_3_bright,10
TPS_054_3_contrass,10
TPS_054_3_glass,10
TPS_054_3_random,10
TPS_055_1,132
TPS_055_1_blur,132
TPS_055_1_bright,132
TPS_055_1_contrass,132
TPS_055_1_glass,132
TPS_055_1_random,132
TPS_055_2,76
TPS_055_2_blur,76
TPS_055_2_bright,76
TPS_055_2_contrass,76
TPS_055_2_glass,76
TPS_055_2_random,76
TPS_055_3,6
TPS_055_3_blur,6
TPS_055_3_bright,6
TPS_055_3_contrass,6
TPS_055_3_glass,6
TPS_055_3_random,6
TPS_056_1,34
TPS_056_1_blur,34
TPS_056_1_bright,34
TPS_056_1_contrass,34
TPS_056_1_glass,34
TPS_056_1_random,34
TPS_056_2,137
TPS_056_2_blur,137
TPS_056_2_bright,137
TPS_056_2_contrass,137
TPS_056_2_glass,137
TPS_056_2_random,137
TPS_056_3,14
TPS_056_3_blur,14
TPS_056_3_bright,14
TPS_056_3_contrass,14
TPS_056_3_glass,14
TPS_056_3_random,14
TPS_057_1,101
TPS_057_1_blur,101
TPS_057_1_bright,101
TPS_057_1_contrass,101
TPS_057_1_glass,101
TPS_057_1_random,101
TPS_057_2,114
TPS_057_2_blur,114
TPS_057_2_bright,114
TPS_057_2_contrass,114
TPS_057_2_glass,114
TPS_057_2_random,114
TPS_057_3,8
TPS_057_3_blur,8
TPS_057_3_bright,8
TPS_057_3_contrass,8
TPS_057_3_glass,8
TPS_057_3_random,8
TPS_058_1,19
TPS_058_1_blur,19
TPS_058_1_bright,19
TPS_058_1_contrass,19
TPS_058_1_glass,19
TPS_058_1_random,19
TPS_058_2,112
TPS_058_2_blur,112
TPS_058_2_bright,112
TPS_058_2_contrass,112
TPS_058_2_glass,112
TPS_058_2_random,112
TPS_058_3,20
TPS_058_3_blur,20
TPS_058_3_bright,20
TPS_058_3_contrass,20
TPS_058_3_glass,20
TPS_058_3_random,20
TPS_059_1,72
TPS_059_1_blur,72
TPS_059_1_bright,72
TPS_059_1_contrass,72
TPS_059_1_glass,72
TPS_059_1_random,72
TPS_059_2,169
TPS_059_2_blur,169
TPS_059_2_bright,169
TPS_059_2_contrass,169
TPS_059_2_glass,169
TPS_059_2_random,169
TPS_059_3,12
TPS_059_3_blur,12
TPS_059_3_bright,12
TPS_059_3_contrass,12
TPS_059_3_glass,12
TPS_059_3_random,12
TPS_060_1,138
TPS_060_1_blur,138
TPS_060_1_bright,138
TPS_060_1_contrass,138
TPS_060_1_glass,138
TPS_060_1_random,138
TPS_060_2,68
TPS_060_2_blur,68
TPS_060_2_bright,68
TPS_060_2_contrass,68
TPS_060_2_glass,68
TPS_060_2_random,68
TPS_060_3,4
TPS_060_3_blur,4
TPS_060_3_bright,4
TPS_060_3_contrass,4
TPS_060_3_glass,4
TPS_060_3_random,4
TPS_061_1,136
TPS_061_1_blur,136
TPS_061_1_bright,136
TPS_061_1_contrass,136
TPS_061_1_glass,136
TPS_061_1_random,136
TPS_061_2,74
TPS_061_2_blur,74
TPS_061_2_bright,74
TPS_061_2_contrass,74
TPS_061_2_glass,74
TPS_061_2_random,74
TPS_061_3,8
TPS_061_3_blur,8
TPS_061_3_bright,8
TPS_061_3_contrass,8
TPS_061_3_glass,8
TPS_061_3_random,8
TPS_062_1,68
TPS_062_1_blur,68
TPS_062_1_bright,68
TPS_062_1_contrass,68
TPS_062_1_glass,68
TPS_062_1_random,68
TPS_062_2,147
TPS_062_2_blur,147
TPS_062_2_bright,147
TPS_062_2_contrass,147
TPS_062_2_glass,147
TPS_062_2_random,147
TPS_062_3,30
TPS_062_3_blur,30
TPS_062_3_bright,30
TPS_062_3_contrass,30
TPS_062_3_glass,30
TPS_062_3_random,30
TPS_063_1,147
TPS_063_1_blur,147
TPS_063_1_bright,147
